Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,hot,cluster
Walking on the Moon,The Police,0.514,0.34,0,-12.779,1,0.0537,0.00142,0.0173,0.213,0.269,145.992,audio_features,62uLNJgVZaFiEiKV4LpoYJ,spotify:track:62uLNJgVZaFiEiKV4LpoYJ,https://api.spotify.com/v1/tracks/62uLNJgVZaFiEiKV4LpoYJ,https://api.spotify.com/v1/audio-analysis/62uLNJgVZaFiEiKV4LpoYJ,300827,4,No,0
I Could Never Take the Place of Your Man,Prince,0.62,0.775,0,-9.528,1,0.0276,0.0475,0.0348,0.213,0.772,147.804,audio_features,1tYLo4i7MAW4OW2J3OpOJD,spotify:track:1tYLo4i7MAW4OW2J3OpOJD,https://api.spotify.com/v1/tracks/1tYLo4i7MAW4OW2J3OpOJD,https://api.spotify.com/v1/audio-analysis/1tYLo4i7MAW4OW2J3OpOJD,388896,4,No,4
Wild Is the Wind,David Bowie,0.522,0.58,9,-12.914,0,0.0324,0.0156,0.00168,0.0543,0.493,98.489,audio_features,7ynwkFhXbrQqnMIWqFfRUS,spotify:track:7ynwkFhXbrQqnMIWqFfRUS,https://api.spotify.com/v1/tracks/7ynwkFhXbrQqnMIWqFfRUS,https://api.spotify.com/v1/audio-analysis/7ynwkFhXbrQqnMIWqFfRUS,366360,4,No,0
Beetlebum,Blur,0.542,0.627,0,-7.105,1,0.0243,0.0794,0.000517,0.277,0.814,89.734,audio_features,4OHVCeQYPncEwZOtNAJZZx,spotify:track:4OHVCeQYPncEwZOtNAJZZx,https://api.spotify.com/v1/tracks/4OHVCeQYPncEwZOtNAJZZx,https://api.spotify.com/v1/audio-analysis/4OHVCeQYPncEwZOtNAJZZx,305213,4,No,1
You Haven't Done Nothin',Stevie Wonder,0.749,0.641,10,-10.06,0,0.0356,0.296,0.000104,0.501,0.841,101.467,audio_features,1inwt0v9a4ib9yS6Y4KsdM,spotify:track:1inwt0v9a4ib9yS6Y4KsdM,https://api.spotify.com/v1/tracks/1inwt0v9a4ib9yS6Y4KsdM,https://api.spotify.com/v1/audio-analysis/1inwt0v9a4ib9yS6Y4KsdM,202707,4,No,13
Birdland,Weather Report,0.589,0.532,0,-12.021,1,0.0359,0.434,0.00157,0.0794,0.527,156.868,audio_features,19vVghIuHm3IAfN4xpRF3q,spotify:track:19vVghIuHm3IAfN4xpRF3q,https://api.spotify.com/v1/tracks/19vVghIuHm3IAfN4xpRF3q,https://api.spotify.com/v1/audio-analysis/19vVghIuHm3IAfN4xpRF3q,356760,4,No,2
Hungry Heart,Bruce Springsteen,0.641,0.894,8,-7.41,1,0.0273,0.0857,0.009,0.157,0.972,109.823,audio_features,1KsI8NEeAna8ZIdojI3FiT,spotify:track:1KsI8NEeAna8ZIdojI3FiT,https://api.spotify.com/v1/tracks/1KsI8NEeAna8ZIdojI3FiT,https://api.spotify.com/v1/audio-analysis/1KsI8NEeAna8ZIdojI3FiT,199453,4,No,5
A New England,Billy Bragg,0.54,0.544,5,-7.533,1,0.0369,0.812,0.0,0.0845,0.691,82.978,audio_features,0tLuGOBe8BjapO9GcX9WXb,spotify:track:0tLuGOBe8BjapO9GcX9WXb,https://api.spotify.com/v1/tracks/0tLuGOBe8BjapO9GcX9WXb,https://api.spotify.com/v1/audio-analysis/0tLuGOBe8BjapO9GcX9WXb,135060,4,No,3
Move Your Body (House Music Anthem),Marshall Jefferson,0.791,0.801,4,-6.344,0,0.07,0.00531,0.189,0.509,0.609,124.985,audio_features,3YXIVMQLRRq2K7kxC7UYx6,spotify:track:3YXIVMQLRRq2K7kxC7UYx6,https://api.spotify.com/v1/tracks/3YXIVMQLRRq2K7kxC7UYx6,https://api.spotify.com/v1/audio-analysis/3YXIVMQLRRq2K7kxC7UYx6,196110,4,No,13
Whatta Man,Salt 'n' Pepa with En Vogue,0.757,0.544,5,-10.722,1,0.219,0.154,6.07e-05,0.226,0.921,173.208,audio_features,7sJN693sYKEIEMu7fc5VnJ,spotify:track:7sJN693sYKEIEMu7fc5VnJ,https://api.spotify.com/v1/tracks/7sJN693sYKEIEMu7fc5VnJ,https://api.spotify.com/v1/audio-analysis/7sJN693sYKEIEMu7fc5VnJ,308360,4,No,9
Red Hot,Billy Lee Riley,0.396,0.841,0,-6.944,1,0.104,0.613,0.0,0.0847,0.758,175.966,audio_features,31ajddT1F78QGsGLWonOaq,spotify:track:31ajddT1F78QGsGLWonOaq,https://api.spotify.com/v1/tracks/31ajddT1F78QGsGLWonOaq,https://api.spotify.com/v1/audio-analysis/31ajddT1F78QGsGLWonOaq,149584,4,No,4
Let's Go Crazy,Prince and The Revolution,0.309,0.93,11,-6.399,1,0.125,0.0192,0.0022,0.106,0.376,195.815,audio_features,0QeI79sp1vS8L3JgpEO7mD,spotify:track:0QeI79sp1vS8L3JgpEO7mD,https://api.spotify.com/v1/tracks/0QeI79sp1vS8L3JgpEO7mD,https://api.spotify.com/v1/audio-analysis/0QeI79sp1vS8L3JgpEO7mD,280000,4,No,8
Girlfriend,Matthew Sweet,0.529,0.714,6,-6.315,1,0.031,0.00901,6.26e-06,0.0772,0.814,120.598,audio_features,338gPBomyqx33wfeF1AGOd,spotify:track:338gPBomyqx33wfeF1AGOd,https://api.spotify.com/v1/tracks/338gPBomyqx33wfeF1AGOd,https://api.spotify.com/v1/audio-analysis/338gPBomyqx33wfeF1AGOd,219800,4,No,5
The Bomb!,The Bucketheads,0.781,0.881,9,-3.804,0,0.0423,0.0119,0.389,0.0797,0.868,125.935,audio_features,4OIMUs3KgUh77mjzJ8I5f9,spotify:track:4OIMUs3KgUh77mjzJ8I5f9,https://api.spotify.com/v1/tracks/4OIMUs3KgUh77mjzJ8I5f9,https://api.spotify.com/v1/audio-analysis/4OIMUs3KgUh77mjzJ8I5f9,203827,4,No,5
Feed the Tree,Belly,0.547,0.718,0,-8.309,1,0.0269,0.00325,0.672,0.0718,0.868,137.978,audio_features,3L19vBWH4jTHNXbuBaHbUN,spotify:track:3L19vBWH4jTHNXbuBaHbUN,https://api.spotify.com/v1/tracks/3L19vBWH4jTHNXbuBaHbUN,https://api.spotify.com/v1/audio-analysis/3L19vBWH4jTHNXbuBaHbUN,209000,4,No,6
Breathe,The Prodigy,0.673,0.808,9,-6.183,1,0.0491,0.0121,0.878,0.037,0.303,130.041,audio_features,4ZtqsOdBbS6GoedzzRGSo9,spotify:track:4ZtqsOdBbS6GoedzzRGSo9,https://api.spotify.com/v1/tracks/4ZtqsOdBbS6GoedzzRGSo9,https://api.spotify.com/v1/audio-analysis/4ZtqsOdBbS6GoedzzRGSo9,336280,4,No,6
Sweet Soul Music,Arthur Conley,0.59,0.659,5,-9.669,1,0.0697,0.104,6.56e-06,0.356,0.965,80.201,audio_features,2YuIyYri67bgUXKQW5V9XW,spotify:track:2YuIyYri67bgUXKQW5V9XW,https://api.spotify.com/v1/tracks/2YuIyYri67bgUXKQW5V9XW,https://api.spotify.com/v1/audio-analysis/2YuIyYri67bgUXKQW5V9XW,141067,4,No,10
Ballad of a Thin Man,Bob Dylan,0.473,0.574,11,-8.189,0,0.032,0.695,0.0,0.509,0.499,74.056,audio_features,0f5N14nB8xi0p3o4BlVvbx,spotify:track:0f5N14nB8xi0p3o4BlVvbx,https://api.spotify.com/v1/tracks/0f5N14nB8xi0p3o4BlVvbx,https://api.spotify.com/v1/audio-analysis/0f5N14nB8xi0p3o4BlVvbx,356707,4,No,13
High and Dry,Radiohead,0.419,0.383,4,-11.782,1,0.0256,0.0724,0.0176,0.0896,0.35,87.568,audio_features,2a1iMaoWQ5MnvLFBDv4qkf,spotify:track:2a1iMaoWQ5MnvLFBDv4qkf,https://api.spotify.com/v1/tracks/2a1iMaoWQ5MnvLFBDv4qkf,https://api.spotify.com/v1/audio-analysis/2a1iMaoWQ5MnvLFBDv4qkf,257480,4,No,0
You Dropped a Bomb on Me,The Gap Band,0.786,0.627,9,-11.177,1,0.0339,0.00737,0.00186,0.181,0.831,126.461,audio_features,1VKPiQJnV15flF5B3zeocD,spotify:track:1VKPiQJnV15flF5B3zeocD,https://api.spotify.com/v1/tracks/1VKPiQJnV15flF5B3zeocD,https://api.spotify.com/v1/audio-analysis/1VKPiQJnV15flF5B3zeocD,312907,4,No,10
Fun Fun Fun,The Beach Boys,0.517,0.796,3,-6.313,1,0.0341,0.195,0.0,0.097,0.97,155.532,audio_features,5L0L3RyON6g8avnI20uubN,spotify:track:5L0L3RyON6g8avnI20uubN,https://api.spotify.com/v1/tracks/5L0L3RyON6g8avnI20uubN,https://api.spotify.com/v1/audio-analysis/5L0L3RyON6g8avnI20uubN,138907,4,No,4
Fit But You Know It,The Streets,0.68,0.844,6,-1.729,1,0.299,0.23,0.0,0.0305,0.895,172.302,audio_features,312A8WfROSLvZbMDHBUPDp,spotify:track:312A8WfROSLvZbMDHBUPDp,https://api.spotify.com/v1/tracks/312A8WfROSLvZbMDHBUPDp,https://api.spotify.com/v1/audio-analysis/312A8WfROSLvZbMDHBUPDp,254267,4,No,9
Jingling Baby (Remixed and Still Jingling),LL Cool J,0.85,0.763,1,-8.162,1,0.24,0.0488,0.000117,0.0923,0.55,110.971,audio_features,4d7jMI076XkbM1Upwhh6rC,spotify:track:4d7jMI076XkbM1Upwhh6rC,https://api.spotify.com/v1/tracks/4d7jMI076XkbM1Upwhh6rC,https://api.spotify.com/v1/audio-analysis/4d7jMI076XkbM1Upwhh6rC,296533,4,No,11
"Shit, Damn, Motherf*cker",D'Angelo,0.803,0.236,7,-12.599,1,0.0994,0.343,0.598,0.0682,0.567,80.974,audio_features,0s39srtdNSrRz6bRMkOrp3,spotify:track:0s39srtdNSrRz6bRMkOrp3,https://api.spotify.com/v1/tracks/0s39srtdNSrRz6bRMkOrp3,https://api.spotify.com/v1/audio-analysis/0s39srtdNSrRz6bRMkOrp3,314166,4,No,6
Mickey,Toni Basil,0.595,0.928,4,-4.457,1,0.0503,0.0569,0.0,0.0336,0.982,149.975,audio_features,5G9KcZaxfCysfv4EryCB9b,spotify:track:5G9KcZaxfCysfv4EryCB9b,https://api.spotify.com/v1/tracks/5G9KcZaxfCysfv4EryCB9b,https://api.spotify.com/v1/audio-analysis/5G9KcZaxfCysfv4EryCB9b,252885,4,No,5
